GeneSymbol,log2FoldChange,padj,DE
2810001G20Rik,0.17686153859422207,0.8478816807452215,NO
2810002D19Rik,0.12499488834993192,0.4882442351384405,NO
2810004N23Rik,0.04281139620539579,0.6613338997081785,NO
2810013P06Rik,-0.39641653996706244,0.047532644156592245,DOWN
2810021J22Rik,-0.3638022095412191,0.35067131384685957,NO
2810025M15Rik,0.172265268626739,0.48117701382862854,NO
2810029C07Rik,-0.24830795296669783,0.4180217198296636,NO
2810039B14Rik,-0.3937016091432965,0.5234469030406762,NO
2810402E24Rik,-0.0913106647635004,0.738027112766755,NO
2810403D21Rik,0.020803989296851524,0.9597093158227775,NO
2810408A11Rik,-0.8237766230475854,0.26463424727571655,NO
2810408I11Rik,0.22162158853791514,0.776469524104044,NO
2810410L24Rik,-0.9734563092284925,0.003857559584663426,DOWN
2810414N06Rik,-0.05762043574953103,0.9480064853412814,NO
2810457G06Rik,0.2863590826039559,0.6491798497805652,NO
2900026A02Rik,0.06883030763024117,0.588018480869948,NO
2900052L18Rik,-0.5468679167303014,0.32217462570261085,NO
2900076A07Rik,-0.6453784648716039,0.0787602198733242,NO
2900089D17Rik,-0.1328816715175009,0.8780551372569996,NO
2900093K20Rik,0.2992469152619277,0.6876720763258587,NO
3000002C10Rik,0.36601905593856876,0.44464021960960265,NO
3010003L21Rik,0.335440902714651,0.3241454537098677,NO
3110009E18Rik,-0.18394952137199366,0.7179863097446149,NO
3110021N24Rik,0.44080945646109865,0.4374235495375156,NO
3110040N11Rik,-0.1253563770927228,0.3718717343030541,NO
3110045C21Rik,-0.12494156065466959,0.7246744778242091,NO
3110056K07Rik,-0.27274955413244695,0.39365497084714257,NO
3110082I17Rik,-0.04075117216678798,0.8292363420573657,NO
3300002I08Rik,-0.052497650083332556,0.9560770681687552,NO
3300005D01Rik,0.027831986873951175,0.9797389228747393,NO
3830406C13Rik,-0.051430195741992514,0.839376372186652,NO
3830408C21Rik,-0.6904108670155229,0.2679764785222568,NO
4631405J19Rik,-1.434258946076334,0.0036023457223750975,DOWN
4632404H12Rik,-0.321138648351549,0.047532644156592245,DOWN
4632404M16Rik,-0.07910179148722743,0.9101578099000998,NO
4632411P08Rik,0.06815089380496155,0.9487297681391126,NO
4632427E13Rik,-0.8554947780161928,0.009133919286189078,DOWN
4731419I09Rik,0.049276160757894566,0.9413585821698613,NO
4732416N19Rik,-0.612379140677879,0.3544690596907978,NO
4732419C18Rik,0.36839526262753775,0.6756736399604591,NO
4732440D04Rik,-0.21619493006830764,0.5840174792411517,NO
4732465J04Rik,-0.5292880273545476,0.5291682445897232,NO
4732471J01Rik,0.04499559156036979,0.9416292204096696,NO
4732487G21Rik,0.833531261638325,0.4155488151486741,NO
4732491K20Rik,0.14564939666065052,0.8056126353237925,NO
4732496C06Rik,-0.6110268538123963,0.2764925351715488,NO
4831440D22Rik,0.9213697887053689,0.25521158286263096,NO
4833407H14Rik,0.4794985896480918,0.2279250738668392,NO
4833413G10Rik,-0.03502232593895824,0.9688923983929351,NO
4833415N18Rik,-0.18507359125694212,0.8454760181552342,NO
4833418N02Rik,-0.5547365357581594,0.0641127489474582,NO
4833418N17Rik,-0.05379420985397847,0.9292169638024013,NO
4833420G17Rik,-0.1937250573984319,0.09258997883724632,NO
4833438C02Rik,0.5317358068184148,0.10703311906097733,NO
4833439L19Rik,0.12555820784131724,0.11963686204622359,NO
4833445I07Rik,-0.7303481981889396,0.3287442365324256,NO
4921514A10Rik,0.25775341986529277,0.3678266048093975,NO
4921516A02Rik,-0.1257943875751191,0.9186845279772718,NO
4921524J17Rik,0.1037470412213976,0.46583881260246857,NO
4921531C22Rik,0.4275297974795297,0.13527974993189013,NO
